Text,Cipher,IC,Letter_1,Letter_2,Letter_3,Letter_4,Letter_5,Letter_6,Letter_7,Letter_8,Letter_9,Bigram_1,Bigram_2,Bigram_3,Bigram_4,Bigram_5
bnxitrhtsxnxyxnsgjnslfgqjytinxynslznxmfrtslifsljwxfsirfpjfhmtnhjtkymjqjfxymfwrkzq,ceaser,0.0570987654320987,n,x,f,s,j,t,y,i,r,nx,sl,xy,ns,ts
bhgfhslemjsqfdorjqyfgmnjmq,MonoalphabeticSubstitution,0.0461538461538461,f,m,j,q,h,g,s,b,l,fm,mj,jq,qh,hg
afxgjlqzgmjkakzsddtwaftslldwoalzdalldwafxgjeslagfsfvgflzwkhmjgxlzwegewfloaddzsnwlgescwlzwegklegewflgmkvwuakagfktmlatwdawnwlzslgfwkkhajalwfdsjywkoalzjwkhgfkatadalqsfvlzsloalzygvkzwdhakzsddescwlzwesfvescwlzwejayzl,ceaser,0.0675242608891898,l,w,a,z,g,f,k,s,d,lz,al,zw,zs,es
tgenlxbakegosndofsniemeredeaheennptw,ColumnarTransposition,0.0698412698412698,e,n,t,g,a,o,s,d,l,en,nt,tg,ga,ao
rafvxaihixsfslxheibdcteexnitlheosextchyainuexifdld,ColumnarTransposition,0.0579591836734693,x,i,e,h,a,f,s,l,d,xi,ie,eh,ha,af
qbemsllrpjlsejbndvbwwlvjjphluvsyejermlvjvspjdsymlrjeeslvjpbm,MonoalphabeticSubstitution,0.0751412429378531,j,l,e,s,v,b,m,p,r,jl,le,es,sv,vb
qgoogrzlttkrpzglvjblovq,MonoalphabeticSubstitution,0.0553359683794466,g,o,l,q,r,z,t,v,k,go,ol,lq,qr,rz
aiwtirhsyvhecwmrhipmfivexmrkerhaiirhxliqamxlsyxgsqmrkxsercviwspzi,ceaser,0.0567307692307692,i,r,h,s,m,x,e,a,w,rh,mr,ai,iw,ir
eqzikhvfixqzwxoqxofqwjozp,MonoalphabeticSubstitution,0.06,q,z,x,o,i,f,w,e,k,qz,zx,xo,oi,if
ujbdykiwvkemyfqvefpkhzufkuarcacoeoxtodcvtlksvzyjvjtzqtvs,Vigenere,0.0383116883116883,v,k,t,u,j,y,e,f,z,vk,kt,tu,uj,jy
wehbzbnenkskmnsoakenzpaesy,MonoalphabeticSubstitution,0.0646153846153846,e,n,k,s,b,z,a,w,h,en,nk,ks,sb,bz
oeeitgeeuvgthaoasdrvlnighnbelevrleaaetft,ColumnarTransposition,0.0692307692307692,e,t,a,g,v,l,o,i,h,et,ta,ag,gv,vl
amkcufyramkckywrgkcylbrfcfmsppslqrfpmsefrfcpmsefcqrbyw,ceaser,0.063591893780573,f,c,r,m,k,y,s,p,a,kc,rf,fc,ms,am
trlaacosyedxtawxhylxsdaxdlhxeewxalaxhely,ColumnarTransposition,0.082051282051282,x,a,l,e,y,d,h,t,s,xa,al,le,ey,yd
oijehktzhlweowxeizglwmaiawxdshopadgdzvzgahcilzfbpowuct,Vigenere,0.0419287211740041,z,w,o,i,h,a,e,l,g,zw,wo,oi,ih,ha
fvakwxdweoxnxcvmflrntqwjnbctvoajvxwxdilnxxmbihxpfrwjnwdvvtk,Vigenere,0.0520163646990064,x,v,w,n,f,d,t,j,a,xv,vw,wn,nf,fd
iolfcpymulyhypylwylnuchypyhziluhbiol,ceaser,0.0841269841269841,y,l,h,i,p,u,o,c,f,py,io,ol,yh,hy
itzgydtzwxjqkfsidtzitzgyjajwdymnsldtzxjjoziljdtzwxjqkfsidtzxjjoziljxjajwdbmjwjgzynkdtzqnxyjsytymjxtzsitkdtzwtbsatnhjdtzhfswnxjfgtajitzgyfsiozilrjsyfsidtzhfsxjjktwjajw,ceaser,0.0683461117196057,j,t,z,i,d,s,y,w,x,tz,dt,xj,fs,si
akazgriwpdambrjzospwdhgculndrzvgddjamhjsxdahjwgkurowgkt,Vigenere,0.0451178451178451,d,a,g,r,w,j,k,z,h,da,ag,gr,rw,wj
qrzbpenplvfnfznyyuneqpberbspbzzbanterrzragfheebhaqrqolnevpuinevrglbsvaqvivqhnyqvssreraprf,ceaser,0.0589887640449438,r,e,n,q,b,v,p,z,a,ne,er,qr,rz,zb
muaexkwisxiucpmnsctarteudansredscvxnyeaxnosexabvhx,ColumnarTransposition,0.0514285714285714,x,a,e,s,n,u,c,m,i,xa,ae,es,sn,nu
toqhgofsghippcfbhvwbugpihghohwghwqgofsacfsdzwopzs,ceaser,0.0637755102040816,h,g,o,f,s,p,w,q,i,fs,gh,hg,go,of
szbcyvsdgvdhcnqhzyzqlsfyvtqyztqpzisqhxsyzilpvkspzdqhtssqlpq,MonoalphabeticSubstitution,0.0677966101694915,s,q,z,y,v,h,p,d,l,sq,qz,zy,yv,vh
dvrxqgglvfuhwlrqlvqrwvrpxfklqglfdwhgebqhyhupdnlqjdplvwdnhdvebqhyhuuhshdwlqjlw,ceaser,0.0618591934381408,l,h,q,d,v,w,r,g,u,lv,lq,dv,vr,qg
bheqrrqffgvyygeniryjvguhfsebznsnenaqjungjrunirorraznxrfhfjungjrner,ceaser,0.0662004662004662,r,n,e,f,g,j,u,h,q,un,rr,en,ni,ir
jlxsuhgmtwuyvqcupmwigskcoonpbmbkionjjsthjtrjokmovqhkrck,Vigenere,0.0404040404040404,j,k,o,m,s,u,h,t,c,jk,ko,om,ms,su
pwomsbfhdoulqmkjopaetxgpxpfkcsupmzwxbuxpfxgpnwuvwdpxzumrdy,Vigenere,0.0477918935269207,p,x,u,w,m,o,f,d,s,px,xu,uw,wm,mo
pfpmoldjlansenriunonnfyeeufuheoiyfzlrfdilxaugihsesihihlfbayzficl,Vigenere,0.0520833333333333,f,i,l,n,e,u,h,o,a,fi,il,ln,ne,eu
cbddivtibtespxofenpsfnfouiboofquvof,ceaser,0.0571428571428571,o,f,b,i,d,v,t,e,s,of,ib,cb,bd,dd
cnvavfuneqgborneohgjvgucngvraprqnlolqnlriraguvffunyycnffnjnl,ceaser,0.063276836158192,n,v,f,g,r,u,l,c,a,cn,nl,vf,fu,un
nqmwcqnlgqrnylfzqpwiqhr,MonoalphabeticSubstitution,0.0632411067193675,q,n,w,l,r,m,c,g,y,qn,nw,wl,lr,rm
oljrxueeexetiyshfgexsganyhhvnetonhx,ColumnarTransposition,0.0588235294117647,e,x,h,n,o,t,y,s,g,ex,xh,hn,no,ot
rancsatclxoktakneoyxeioenurlsxosehsiannagtocamfsdxtmfsofeaudfsseilgtfnnsroslokex,ColumnarTransposition,0.0594936708860759,s,o,a,n,e,t,x,f,l,so,oa,an,ne,et
rqfhwkhzkdwlvghflghgwkhkrzdozdbviroorzvzhpxvwqrwpdnhwkhkrzdqhafxvhiruqrwidflqjdqgdffhswlqjwkhzkdw,ceaser,0.0625,h,w,d,r,k,q,z,f,v,wk,kh,rz,zd,fh
thnqtjuqsqdtethnethnuocscqtsovrhnejdhtnuannqsqthnusqdvqc,MonoalphabeticSubstitution,0.0824675324675324,t,n,q,h,s,u,d,e,c,tn,nq,qh,hs,su
mkwindagsvlgwesvxldsjewysvlywigsqagdswxqendxvamvasmkayulnqgnqdvlsieglnvwylxqendxasvsvlywddmwigseculvagnvay,MonoalphabeticSubstitution,0.0616352201257861,s,v,l,w,d,a,g,n,e,sv,vl,lw,wd,da
whavzzxdarbcrsrmtwrfrmrwrfudmswradpimqnrdltkjmzhmnwadwx,Vigenere,0.0612794612794612,r,w,m,d,a,z,h,x,s,rw,wm,md,da,az
vdogdgjouhfqkozegbbprmxspnbvivdnzjrvgwuvrjhogpfdrvpbhbkvdofxj,Vigenere,0.0491803278688524,v,d,o,g,b,j,p,r,h,vd,do,og,gb,bj
janbserburxtpiudidrtnrxzri,MonoalphabeticSubstitution,0.0584615384615384,r,i,n,b,u,x,t,d,j,ri,in,nb,bu,ux
telilkdbpqtxfqpjlpqprobivtfkp,ceaser,0.0566502463054187,p,t,l,q,i,k,b,f,e,pq,qp,te,el,li
iwtbdhieditcipcshprgtsrdbbpcslwxrwrpcqtapxsjedcpcnpgixhixhiwtrdbbpcslpxi,ceaser,0.0625978090766823,p,i,c,t,b,d,s,r,x,pc,hi,cs,iw,wt
uscwgezdpibfkacjknxnxverlkagmjhqiofnzkuvwbajvzqgyehoce,Vigenere,0.0293501048218029,e,k,c,g,z,a,j,n,v,ek,kc,cg,gz,za
jofbdibdujpoxfnvtumpplcfzpoeuifbdujpobupvsqbtuqsftfouboegvuvsftubufboebupuifstxipnjubggfdutboetffuifsfmbujpopgbmmuiptfuijohtboeuifoxftibmmcfwfszdbvujpvt,ceaser,0.0699721157197629,u,f,b,o,p,t,i,j,v,ui,oe,uj,jp,po
pyjasbqhenbqgfwaerwdfogpoemssewinnwldpxviacwwfvxsvaofmwir,Vigenere,0.0419799498746867,w,a,s,e,f,p,n,o,i,wa,as,se,ef,fp
hrahorxndfhseyoyntbexioeiebxysgmvmxutydedxeloterbsrtgtexmertrexeboaemx,ColumnarTransposition,0.0683229813664596,e,x,r,t,o,y,b,m,h,ex,xr,rt,to,oy
aantnoexettxgcexmtakrrpxvhoxyncoehaxeesx,ColumnarTransposition,0.073076923076923,x,e,a,t,n,o,c,r,h,xe,ea,at,tn,no
kevhirmrkmweribivgmwimrstxmqmwq,ceaser,0.0731182795698924,m,i,r,w,k,e,v,q,h,mw,mr,ke,ev,vh
utiwuymlboxriuhktteisiayumotexmgvkqqpilxmteiboxriobiseiyl,MonoalphabeticSubstitution,0.0557644110275689,i,t,u,m,o,x,e,y,l,it,tu,um,mo,ox
enoekvmennexiiexraohosssbahvwdwr,ColumnarTransposition,0.0524193548387096,e,n,o,s,v,x,i,r,a,en,no,os,sv,vx
gorkfopyeqrddrscpsqrdkcvyxqkxnkcgovvkcgouxygryggorkfolooxnopokdonpybeckckmrbscdskxzoyzvodroboscxygledyxomyebcodyzebceogowecdkmmozddrocsdekdsyx,ceaser,0.0657276995305164,o,d,k,c,y,r,g,e,x,go,kc,dr,sc,yx
wunlaqgtfpxtkgaqeguqnxhtgnalqtilajmhluxwtilpguhlkxaynaytxtil,MonoalphabeticSubstitution,0.059322033898305,l,t,a,g,x,u,n,q,h,lt,ta,ag,gx,xu
dapdwpywjdwralwpeajyaywjdwrasdwpdasehh,ceaser,0.0953058321479374,w,d,a,p,y,j,r,e,s,dw,wp,da,pd,yw
elosldfkgsobptpjitdoubcobuiltpidjudojlhbkuagbqgjhbjldpaktjrktjt,MonoalphabeticSubstitution,0.0552995391705069,j,b,t,l,o,d,k,p,u,jb,bt,tl,lo,od
xomlzhavwtvmjuufmxaavxiwmkbazozmiigxvlsqkramjgimbqpxny,Vigenere,0.0454227812718378,m,x,a,v,i,z,o,l,w,mx,xa,av,vi,iz
ntvrieaftxbrpnmsoahxlhredtieoxgwefnrtrhxiayceronrxhamadnshwxstiteancsxeueedelfuo,ColumnarTransposition,0.0541139240506329,e,r,x,n,t,a,h,i,s,er,rx,xn,nt,ta
bsilbkpmgfsnrhnftenfvylddqswaddofvvazpcnhbkmqojtaxqmy,Vigenere,0.0312046444121915,f,n,d,b,s,m,v,q,a,fn,nd,db,bs,sm
odcqeeosicnnechifmaisnttfoomrnefcodgmeouoantn,ColumnarTransposition,0.0676767676767676,o,n,e,c,i,f,m,t,d,on,ne,ec,ci,if
chcbhictgrlypsusupchyhkpfaqadcaicrlybtcogzopsgktwgfwv,Vigenere,0.0435413642960812,c,h,g,p,t,y,s,a,b,ch,hg,gp,pt,ty
tatoonhsrheaelxhthnmunoixsgttxrorwxtmbyxitiewthhhx,ColumnarTransposition,0.070204081632653,t,h,x,o,n,r,e,i,a,th,hx,xo,on,nr
ktcstxfigzktuvcgqwca,MonoalphabeticSubstitution,0.0421052631578947,t,c,k,g,s,x,f,i,z,tc,ck,kg,gs,sx
nyrknyveuilebfevjvvjzefkyvinfdvefevjvvjzexrisfjfsvi,ceaser,0.0839215686274509,v,e,f,j,i,n,y,r,k,vj,ny,yv,ve,fe
onhdswnengmlhlwpayoudoalmeaoeddn,ColumnarTransposition,0.0604838709677419,o,n,d,e,l,a,h,w,m,on,nd,de,el,la
fwymhuffqutuubizwdhkfqhd,MonoalphabeticSubstitution,0.0652173913043478,f,u,h,w,q,d,y,m,t,fu,uh,hw,wq,qd
byqbijimnjihymnbybiolizfcpchacmfceynbylomncwqbiqucnmzilnbylcpylnilohionvyzilybywlimmym,ceaser,0.0716826265389876,y,i,b,m,n,l,c,o,q,by,bi,mn,nb,yl
oygojnkxkyznkxobkxocgtzzulrucutnkxkyznkjoxkizoutocgtzzumugtjvazsehugzotocgyxkgjeluxznkxobkxzuzgqkatkdvkizkjzaxtygtjvxkyktzuhyzgirky,ceaser,0.0682325308279506,k,z,x,o,g,t,u,y,j,kx,nk,xk,ky,gt
tdtnwhefaenoetxmntlnniethpetsxseoadtvdmredhaxrrneaeliotohreoauiheheronwtorn,ColumnarTransposition,0.0745945945945946,e,t,n,o,h,r,a,d,x,et,tn,no,oh,hr
zjowtnicdjigneccvnizneflnfojsvflwzzjowtbfv,MonoalphabeticSubstitution,0.0534262485481997,n,z,j,f,o,w,i,c,v,nz,zj,jf,fo,ow
itwtgxnchthxooatkrdthaaebhnnixbidonx,ColumnarTransposition,0.0619047619047619,t,x,n,h,i,o,a,d,b,tx,xn,nh,hi,io
xmwxtmwnbmvaigbpibqvilmuwkzikglmkqaqwvaizmuilmjgiuirwzqbgwnbpmxmwxtmwnkwczambpibqavwbbzcmlmkqaqwvaizmuilmjgiuirwzqbgwnbpwamepwuismbpmuamtdmapmizlivlepwdwbmidmzglqnnmzmvbbpqvo,ceaser,0.06557703807056,m,w,i,b,a,q,z,p,v,bp,lm,ui,mw,wn
alnegeaaodxnicsrtlnmlxckhmeoataexmeehalphtnxeedoetthcsxorrsebetsaxrafiraheehs,ColumnarTransposition,0.0700615174299384,e,a,x,t,h,s,r,l,n,ea,ax,xt,th,hs
bcpzsrssrghvohofsqcbqsozsrofsacghsghssasr,ceaser,0.1024390243902439,s,r,h,o,c,g,b,z,f,sr,gh,zs,ss,of
yvjxuhumuhuthuqcijeiubbcuhhoqdtiqtjejubbqdtjxushyuhhkdwxyirubbmxqjmekbtoekrko,ceaser,0.0604921394395078,u,h,b,j,t,q,x,i,e,uh,hu,ub,bb,jx
dtseahedsxibathlireotatrvwdtexteycepcohtowitehahtxhclogahuohauevrtlnue,ColumnarTransposition,0.0654244306418219,t,e,h,a,o,d,x,i,l,te,eh,ha,ao,od
umvacuqiufbthlzotqiawu,MonoalphabeticSubstitution,0.0432900432900432,u,a,q,i,t,m,v,c,f,ua,aq,qi,it,tm
rfczcrrcpnyprmdtyjmspgqbgqapcrgml,ceaser,0.0568181818181818,r,c,p,m,g,y,q,f,z,cr,gq,rf,fc,cz
tnzfwoyenwltxesletslgpypgpcqpweespfcrpezpiawzcppgtwmfehspyjzfopdnpyotyezspwwjzfslgpezmpgpcjnlcpqfw,ceaser,0.0662739322533137,p,e,w,z,f,s,t,y,l,gp,zf,sl,py,pg
uqsxfuhiedxqiqbyjuhqjkhuydiytujxucrkjmxudfuefbubeiubqdwkqwumxudjxuoxqlujeunfuhycudjmyjxfkjjydwjxuyhjxekwxjijewujxuhedjxuifejjxqjimxqjybeluceijjxqjimxuhusxqhqsjuhbylui,ceaser,0.0787878787878787,u,j,x,q,i,e,h,y,d,jx,xu,uh,xq,qj
bewunodunarjfewhferoxheoeslxtsstagn,ColumnarTransposition,0.0453781512605042,e,n,o,s,w,u,a,r,f,en,no,os,sw,wu
muxdugsahaeguuhtpgdoreugdihpbhlngpfvcywsrjldegnnfejze,Vigenere,0.0428156748911465,g,u,e,d,h,p,n,s,a,gu,ue,ed,dh,hp
nhfikvbsfvbqvcjbfshtiypkbwvkwrqkbfnuhxyswcvnxspavxmkhiqyhk,MonoalphabeticSubstitution,0.0496067755595886,k,v,h,b,f,s,n,i,q,kv,vh,hb,bf,fs
mzkeveelvjhtgerwntlfcptzshwubghetduzgnawgiagyalseugvnmeoagz,Vigenere,0.0467562828755113,e,g,z,t,a,v,l,h,w,eg,gz,zt,ta,av
utikzukbkxesgtgtjtgzoutiuskyznksusktzzujkiojkgtjznkinuoikmukyheluxkbkxzcodzzngzjgxqtkyygtjzngzromnz,ceaser,0.0700886415172129,k,z,u,t,g,j,n,i,o,gt,zn,tj,gz,ky
jujtbmxbztuivtjnqbmfeczbtubufpgnjoexijdijteftujofeopuupmbtuuibuxfnblfpvsjssfwpdbcmfefdjtjpot,ceaser,0.0611562350692785,j,u,t,b,f,p,e,m,i,tu,jt,fe,uj,bm
basgfdunhiesenfhibdoemlsnginleiflsuondeily,ColumnarTransposition,0.0615563298490127,n,i,e,s,l,f,d,b,g,ni,ie,es,sl,lf
hcnsektieyirbloeasotxtnnyhrisjstwul,ColumnarTransposition,0.0436974789915966,s,t,n,e,i,h,y,r,l,st,tn,ne,ei,ih
pbicafpqorpqfpqebzxrpblcjlpqlclrocxfirobpfkqebxpproxkzblcpqobkdqeqebobfppqobkdqexkaqebvxobqebtbxhbpqeltbsbopqolkdtelexsbklcxfqefkqebjpbisbploqebfoltkmltbop,ceaser,0.0749057394218684,b,p,q,o,e,l,x,k,f,qe,pq,eb,ob,qo
zckemrkamytfmynrkoclaxzgcrinzjhbfmourtqfmoijaibrkzwk,Vigenere,0.0422322775263951,k,m,r,z,c,a,f,o,i,km,mr,rz,zc,ca
geovgxagfkffmsosfftiwqigkwefywkfdggiqmvtoqorksefbwvlxnaw,Vigenere,0.0545454545454545,f,g,w,o,k,e,v,s,i,fg,gw,wo,ok,ke
lmrfglencpfynqgqqrpylecmlacwmsfytcyaacnrcbjgdcgrqcjdrfcepcyrqrpyleczsqglcqqufgafglajsbcqyjjjcqqcpqrpyleclcqq,ceaser,0.0719972308757355,c,q,l,r,y,g,f,p,j,le,qq,cq,fg,gl
ikqbeqaxlnkkfmrzmyzbqaxdihrvzznkvqwklqjznqzzndvsqbzdarfqblnkkf,MonoalphabeticSubstitution,0.0602855631940772,q,z,k,n,b,a,l,f,r,qz,zk,kn,nb,ba
aaaendglttndntirudeepnhntoohiiteghmsesif,ColumnarTransposition,0.0615384615384615,e,n,t,i,a,d,h,g,o,en,nt,ti,ia,ad
ktiblbathdybgvuwjhsmlzfjsvpodqeotlpuguyefhedheobqnijvc,Vigenere,0.0321453529000698,b,h,e,t,l,d,v,u,j,bh,he,et,tl,ld
vejtuyeaboqkjvecirvjzviyiyrfyvizhiyevouzvhoqeoyaruiggceavoiu,MonoalphabeticSubstitution,0.0627118644067796,v,i,e,y,o,u,j,a,r,vi,ie,ey,yo,ou
siodhonnnptrghhlwiasreshnwtoiilsxunttofsmgahpeeeeasnmtxrariartaaixicarrcsglex,ColumnarTransposition,0.0574162679425837,a,s,i,r,n,t,e,h,o,as,si,ir,rn,nt
oboqzmmiaiamebjivfsbsiamxxnzqqojwvizotebpafqypqxooavbtp,Vigenere,0.0525252525252525,o,b,q,i,a,m,z,v,x,ob,bq,qi,ia,am
jcrtunppchnwnkuhyxfyqzdjxmzxlylbdgnepujshnqfufwjrihnnrbuyacgutw,Vigenere,0.0404505888376856,n,u,j,h,y,c,r,p,w,nu,uj,jh,hy,yc
oczxjrvmygtyjbwvmfnhjmzqdjgziogtocvidowdozn,ceaser,0.044296788482835,o,z,j,v,m,g,d,c,y,oc,vm,gt,do,cz
aolilzadljhukvpzzpglbwaoljohujlzjhsjbshalaolypzrzpucvsclklzapthalvbyhipspafavklhsdpaoaolthukaoluthrlvbywshuzdpaojvumpklujl,ceaser,0.063406042541661,l,a,h,p,o,z,u,j,v,ao,ol,hu,lz,kl
uekuhupghkpuxnejksxesbthvwscthyctjpukcuzzdughvgxcejuzsejwcttvpvkxspkgyvjuetsvgiurvhnwuekhnghuekxvettsu,MonoalphabeticSubstitution,0.0605707629586488,u,e,k,h,t,v,s,g,p,ue,ek,kh,ht,tv
muoqpvmykueurkffrkkitdgclvj,Vigenere,0.037037037037037,k,u,m,v,r,f,o,q,p,ku,um,mv,vr,rf
mirugcoisglgheceyeolirdydoiiucpylyejgekipooleooirvqgd,MonoalphabeticSubstitution,0.0653120464441219,i,o,e,g,l,y,r,c,d,io,oe,eg,gl,ly
jujtuififbsubmxbztuibutfftcfgpsfuififbedbotff,ceaser,0.0979797979797979,f,u,b,t,i,j,s,m,x,if,ui,tu,fi,fb
nrnloxrfhicsaoorkagregetehyrixgteinx,ColumnarTransposition,0.0539682539682539,r,e,n,o,x,i,g,h,a,re,en,no,ox,xi
gnjqndonpfdcdjdepagxuuijhbacdchddbewwjppxcpfefa,Vigenere,0.0564292321924144,d,p,j,c,n,f,e,a,g,dp,pj,jc,cn,nf
fkbgkvflimrorilluxffgrczmrdunilwqbhbzcdxhxltdibkeevfkjrkqd,Vigenere,0.0423472474289171,f,k,l,r,b,i,d,x,g,fk,kl,lr,rb,bi
hznfemyiwbkcxj,Vigenere,0.0,h,z,n,f,e,m,y,i,w,hz,zn,nf,fe,em
chsnysdhdmququggavzqufmcokasdxnojgfnbbjplmkkevwoozlcx,Vigenere,0.0304789550072568,o,c,s,n,d,m,q,u,g,oc,cs,sn,nd,dm
taoshnahhtrfhdeosrheeeclbttieoetwer,ColumnarTransposition,0.0823529411764705,e,t,h,o,r,a,s,n,f,et,th,ho,or,ra
cnmopicngdrfsdwzkthmpwawryejcfelicsawcbcpkxnw,Vigenere,0.0404040404040404,c,w,n,p,m,i,d,r,f,cw,wn,np,pm,mi
eetaygxetreoidtatoohieceioshoxlhndenrevntwhmxrlagaaeidagihaecdlgsapnhymncco,ColumnarTransposition,0.0587387387387387,e,a,o,h,t,i,n,g,d,ea,ao,oh,ht,ti
efkyzexvmvikrjkvurepsvkkvikyrertfcusvvifersvrlkzwlcrwkvieffenzkyefkyzexkfcffbwfinriukfslkdfivfwkyvjrdv,ceaser,0.0716365754222481,k,f,v,e,r,i,y,z,s,ky,vi,ef,kv,sv
opmdwrgcyrcgmadomwpgwr,MonoalphabeticSubstitution,0.0692640692640692,m,w,r,g,o,p,d,c,y,mw,wr,rg,go,op
tmlyrcebdbapelsminkexcqulmluoiykwzslezuupvybdrqbliljittt,Vigenere,0.0422077922077922,l,t,e,b,i,u,m,y,r,lt,te,eb,bi,iu
kngvvjgcogtkecprgqrngfqypcpfkjcxgvqecttavjcvdwtfgphqtvjgtguvqhoankhgoarqnkvkecnnkhgkuqxgtkyknnpgxgtcickpjcxgcpqrrqtvwpkvavqugtxgkpcpaqhhkekcnrqukvkqpocadgkecpikxgcnkvvngcfxkeghtqovkogvqvkog,ceaser,0.0671507373635033,k,g,v,c,q,p,n,t,o,xg,gt,ke,cp,gc
zpgjdztgafzodkkdwxzkvspmdwxpgapdvaodxgdzqimieqdkgsikx,MonoalphabeticSubstitution,0.0595065312046444,d,z,g,k,p,x,a,i,o,dz,zg,gk,kp,px
befdjtjpojtbobdujpozpvnvtuublfxifozpvibwfjogpsnbujpotpjodpnqmfufuibuuifbotxfsepftoputvhhftujutfmg,ceaser,0.0661512027491409,f,u,p,t,o,b,j,v,i,jp,po,uj,jt,bo
fetvruvtzjzfenrjdruvzuzuefknfiiprsflkzkrwkvinriu,ceaser,0.0629432624113475,r,f,u,z,v,k,i,e,n,fe,ru,uv,nr,zu
lwtccdiwxcvxhhjgttktgniwxcvxhedhhxqat,ceaser,0.0645645645645645,t,x,h,c,w,d,i,v,g,iw,wx,xc,cv,vx
euaigttuzykrrznkiucgtjyavznksorq,ceaser,0.0403225806451612,u,t,z,k,r,a,i,g,y,gt,zn,nk,eu,ua
muxhymmzfcymuqusihnbyqchamizncgy,ceaser,0.0584677419354838,m,y,u,h,c,z,q,i,n,mu,ym,ux,xh,hy
ltowlnltadtocdwhsehmalwliodeaagnbal,ColumnarTransposition,0.0672268907563025,l,a,t,o,w,d,n,h,e,la,at,to,ow,wd
asegfdqstwwjlwwlglsddwjfglsuzsehsyfwlwwlglsddwj,ceaser,0.093432007400555,w,s,l,d,g,f,j,e,a,ww,wj,wl,gl,ls
qpflqscgnbxcfrxfxhwjcenxmwinwxlyfwaphgnjazkjtf,Vigenere,0.0425120772946859,f,x,n,w,c,j,q,p,l,fx,xn,nw,wc,cj
kgzdrvkajmhgxjabuhzaueauejbmrpqjryvgxemjrpgjjmribbjbijmr,MonoalphabeticSubstitution,0.0623376623376623,j,r,m,b,g,a,u,e,k,jr,rm,mb,bg,ga
rfcpyacgqlmrrmrfcqugdrlmprfczyrrjcrmrfcqrpmle,ceaser,0.0979797979797979,r,c,m,f,p,q,l,y,g,rf,fc,mr,lm,rr
lyhehhqidlolqjiruolnhwhqruhohyhqbhduvzkhqlwwxuqvlwoowxuquljkwqrzlpmxvwwublqwrvtxhhchwkurxjkdyhubwljkwilqdqfldoshulrgjhwwkhprylhrxwdqgsxwpbwklqjvlqrughu,ceaser,0.0653421633554083,h,w,l,q,u,r,k,x,d,lq,hq,yh,ru,hw
aidiihalbytptxifibfruqvxnueituzjuozsfgoaaxiucnbd,Vigenere,0.0469858156028368,i,u,a,b,t,x,f,d,n,iu,ua,ab,bt,tx
tjqfsyniqrtcnqxjqnxnqbxuyzzr,MonoalphabeticSubstitution,0.0634920634920634,q,n,x,t,j,y,r,z,f,qn,nx,xt,tj,jy
ohrwfzhdgzkcrtjxfgujkogjlltmpksgapgkzazuaivfxmjfpepntts,Vigenere,0.0383838383838383,g,f,z,k,t,j,p,a,o,gf,fz,zk,kt,tj
dhvbdivodjiojjfoczmzdinviymzvnjingjrkvxzyocjpbcnpmzajjozyrvnpizlpvgojvmvxzrdocnjzxxziomdxviyagdbcotvxjhkvidji,ceaser,0.0611620795107033,v,j,i,z,o,d,n,x,c,ji,oc,mz,vi,vx
tntdoxdwuhwhomtltxraoonxeeeoot,ColumnarTransposition,0.0804597701149425,o,t,x,e,n,d,w,h,u,ot,tx,xe,en,nd
seyxrduheahxestlnapiaarcrkldhdtxwhbe,ColumnarTransposition,0.0476190476190476,e,h,a,x,r,d,s,t,l,eh,ha,ax,xr,rd
tblbwtpwflbkzmlgawxzblqmpwgpdlqpopxraimqqxzbmllkamozbgmwt,MonoalphabeticSubstitution,0.0607769423558897,l,b,m,w,p,z,q,t,g,lb,bm,mw,wp,pz
pqebmudueftqoazoxgeuazarraaxe,ceaser,0.0591133004926108,a,e,u,q,o,z,x,r,p,az,pq,qe,eb,bm
rcsxdtfephmrvmvhwfruyzxqhzptfgkxuujkbifhpglgzadvqffh,Vigenere,0.0384615384615384,f,h,r,x,p,v,u,z,g,fh,hr,rx,xp,pv
tktgbntssappdgpykghstjftpctuuttetytfpqovvddeqlnmadlsbdb,Vigenere,0.0585858585858585,t,p,d,s,g,b,k,n,a,tp,pd,ds,sg,gb
chripfcoinrocjjdfricoadgvdkxpgeracjzreoodjgnijogyyxcjzih,MonoalphabeticSubstitution,0.0558441558441558,c,o,j,r,i,d,g,h,p,co,oj,jr,ri,id
itprfrltixjcheilulintouooyeosxueertassvxstsiydsmex,ColumnarTransposition,0.0546938775510204,s,i,t,e,x,o,r,l,u,si,it,te,ex,xo
zcscafmsxlxixlsshqsauzysxouswcshcscirzsmxwazamafox,MonoalphabeticSubstitution,0.0783673469387755,s,x,c,a,z,m,f,l,i,sx,xc,ca,az,zm
jrhaqbbhefryirfolvzcngvraprzvfsbegharfunirgurveyvsrnaqgurveyvzvgfgurvefvpxarffnaqgurveurnygu,ceaser,0.0678451982799809,r,v,f,g,u,a,e,n,y,gu,ur,rv,ve,aq
sxbpbybpbicqbzetxsiegsxbczfyegfcyirgfsxbxbrmucnsbpfccpyri,MonoalphabeticSubstitution,0.0657894736842105,b,c,s,x,p,y,i,f,e,bc,cs,sx,xp,py
cszzvpkypncelfgveeysrtbcryivbcxeswaazzbsjsjvrognjjf,Vigenere,0.0423529411764705,s,c,z,v,e,j,y,r,b,sc,cz,zv,ve,ej
